$(OWNED)	(ЕСТЬ)
$CS_SUB_CATEGORY_BB_PROFANITY	Нецензурная лексика
$CS_SUB_CATEGORY_BB_STOLENCOPYRIGHT	Украденные или защищенные авторским правом материалы
$CS_DESCRIPTION_BB_PROFANITY	Выберите этот пункт, если имя автора или идентификатор пользователя является неприличным, вредоносным, угрожающим, оскорбительным по расовой либо этнической принадлежности, непристойным или носит сексуальный характер и нарушает правила поведения.
$CS_DESCRIPTION_BB_HATE_SPEECH	Выберите этот пункт, если вы столкнулись с разжиганием ненависти в игре. Разжиганием ненависти мы называем устные либо письменные выражения с оскорблениями или угрозами, направленные против определенной группы по признаку расы, национальности, религии или сексуальной ориентации.
$CS_DESCRIPTION_BB_NUDITY	Выберите этот пункт, чтобы пожаловаться на изображения, содержащие наготу или порнографию.
$CS_DESCRIPTION_BB_OTHER_HARMFUL	Выберите этот пункт, чтобы пожаловаться на другие нежелательные материалы, не попадающие в остальные категории.
$CS_DESCRIPTION_BB_DOXING	Выберите этот пункт, чтобы сообщить о публикации в игре или интернете ваших личных данных другим пользователем без вашего согласия. К ним относятся настоящие имена, адреса, адреса электронной почты, телефонные номера и другая информация, позволяющая установить личность.
$CS_DESCRIPTION_BB_MISLEADING	Выберите этот пункт, чтобы пожаловаться на отсутствующие, пустые или неточно представленные материалы.
$CS_DESCRIPTION_BB_STOLENCOPYRIGHT	Выберите этот пункт, чтобы сообщить об использовании материалов, которые вы создали или на которые у вас есть авторские права. Если вы хотите сообщить об использовании чьих-либо материалов, обратитесь к соответствующему правообладателю с просьбой отправить жалобу.
$CS_CATEGORY_BAD_ACTIONS_CHEATING_EXPLOITING	НЕДОБРОСОВЕСТНОЕ ПОВЕДЕНИЕ/МОШЕННИЧЕСТВО/ЭКСПЛУАТАЦИЯ УЯЗВИМОСТЕЙ
$CS_CATEGORY_BAD_LANGUAGE_TOXICITY	СКВЕРНОСЛОВИЕ/ГРУБОЕ ПОВЕДЕНИЕ
$CS_CATEGORY_CHARACTER_RESTORATION	ВОССТАНОВЛЕНИЕ ПЕРСОНАЖА
$CS_CATEGORY_ITEM_ISSUE	ПРОБЛЕМА С ПРЕДМЕТОМ
$CS_CATEGORY_REAL_WORLD_THREATS	УГРОЗЫ В РЕАЛЬНОМ МИРЕ
$CS_Description_Atomic_Shop	Используйте этот вариант при возникновении проблем с Атомной лавкой.
$CS_Description_Cheating_Exploiting	К этой категории относится использование сторонних программ (ботов), взломанного оружия, прохождения сквозь стены, дефектов местности и т. д.
$CS_Description_Child_Exploitation	Используйте этот вариант, чтобы сообщить об угрозах в отношении детей. Эти сведения могут быть переданы в полицию.
$CS_Description_Deleted_Character	Используйте этот вариант, если вы удалили персонажа в течение последних 7 дней и хотите его восстановить.
$CS_Description_Doxing	Используйте этот вариант, чтобы пожаловаться на игроков, публикующих реальные личные данные других пользователей.
$CS_Description_Harassment_Bullying	Используйте этот вариант, если игроки используют текстовый чат или элементы игровой механики для многократного совершения нежелательных действий после того, как их попросили прекратить.
$CS_Description_Hate_Speech	Используйте этот вариант, чтобы сообщить о письменных или устных угрозах или агрессивных действиях, связанных с предубеждениями против людей определенных расы, национальности, вероисповедания или сексуальной ориентации.
$CS_Description_Imminent_Harm	Если вам или кому-либо еще угрожает непосредственная опасность, не ограничивайтесь отправкой жалобы и обратитесь в местные экстренные службы.
$CS_Description_Lost_Item	Сотрудники службы поддержки не могут возместить потерянные предметы.
$CS_Description_Missing_Atoms	Используйте этот вариант, если вы не получили атомы, которые должны были получить, либо если у вас пропали атомы.
$CS_Description_Profane_Name_UserID	Используйте этот вариант, чтобы пожаловаться на имя персонажа или идентификатор пользователя, содержащие нецензурную или иную оскорбительную лексику.
$CS_Description_Profane_Voice_Chat	Используйте этот вариант, чтобы пожаловаться на ГОЛОСОВОЙ чат.
$CS_Description_Scamming	Сотрудники службы поддержки рассмотрят жалобы на мошенничество и примут соответствующие меры.
$CS_Description_Self_Harm	Используйте этот вариант, если вы столкнулись с поведением, о котором следует сообщить в органы правопорядка, чтобы те провели проверку благополучия.
$CS_Description_Terrorism	Используйте этот вариант, если вы столкнулись с ситуацией, о которой необходимо оповестить федеральные органы правопорядка.
$CS_Description_Trolling	Используйте этот вариант, чтобы пожаловаться на пользователя, намеренно мешающего игровому процессу или общению участников сообщества.
$CS_Sub_Category_Atomic_Shop	Возникла проблема с Атомной лавкой
$CS_Sub_Category_Cheating_Exploiting	Мошенничество/Эксплуатация уязвимостей
$CS_Sub_Category_Child_Exploitation	Сексуальная эксплуатация и жестокое обращение с детьми
$CS_Sub_Category_Deleted_Character	Удален персонаж
$CS_Sub_Category_Doxing	Распространение/публикация личных данных
$CS_Sub_Category_Harassment_Bullying	Причинение беспокойства/Угрозы
$CS_Sub_Category_Hate_Speech	Разжигание ненависти
$CS_Sub_Category_Imminent_Harm	Непосредственная угроза человеку или имуществу
$CS_Sub_Category_Lost_Item	У меня потерялся предмет
$CS_Sub_Category_Missing_Atoms	У меня пропали атомы
$CS_Sub_Category_Profane_Name_UserID	Сквернословие в имени персонажа или идентификаторе пользователя
$CS_Sub_Category_Profane_Voice_Chat	Сквернословие в голосовом чате
$CS_Sub_Category_Scamming	Мошенничество
$CS_Sub_Category_Self_Harm	Самовредительство/самоубийство
$CS_Sub_Category_Terrorism	Терроризм или насильственный экстремизм
$CS_Sub_Category_Trolling	Троллинг
$CS_IncidentID	Идентификатор ситуации: {1}
$CS_InvalidIncidentType	Неверный тип ситуации
$CS_Report_Confirm	Пожаловаться на игрока {1} по причине "{2}"?
$CS_Support_Confirm	Отправить в службу поддержки запрос по теме "{1}"?
$Curated_by	Выбрано игроком {1}
$CURRENT_ATHENA	ТЕКУЩИЙ МИР: {1}
$CURRENT MODS	УСТАНОВЛЕННЫЕ
$Current Rank	Текущий ур.
$CurrentXPD	Текущая экспедиция
$Custom	Личные
$CUSTOM	ЛИЧНЫЕ
$CUSTOM_ATHENA	ЛИЧНЫЙ МИР
$CUSTOMIZE	ПЕРСОНАЛИЗАЦИЯ
$CYCLE DAMAGE	ВЫБРАТЬ УРОН
$Cycle Parts	ВЫБРАТЬ ДЕТАЛЬ
$Cycle Targets	ДРУГАЯ ЦЕЛЬ
$DO_OPERATION	ОПЕРАЦИЯ
$DO_COMPLETE	ПРОЙДЕНА
$DO_DOUBLEMUTATIONWEEKEND	ЕЖЕДНЕВНЫЕ ОПЕРАЦИИ: ВЫХОДНЫЕ ДВОЙНЫХ МУТАЦИЙ!
$DO_DoubleMutationsDescription	Получайте вдвое больше мутаций, очков опыта, валюты и легенларных блоков, выполняя ежедневные операции во время выходных двойных мутаций!
$DO_REWARDS	НАГРАДЫ
$DO_BASEREWARDS	БАЗОВЫЕ НАГРАДЫ
$DO_BASEREWARD1	БАЗОВЫЙ ОПЫТ
$DO_BASEREWARD2	ЛЕГЕНД. ПРЕДМЕТ
$DO_BASEREWARD3	ВАЛЮТА
$DO_BASEREWARD4	ПРИПАСЫ
$DO_BASEREWARD5	КОМПЛЕКТ БОЕПРИПАСОВ
$DO_BASEREWARDAMOUNT3	КРЫШКИ, ЛЕГЕНД. СЕРТИФИКАТЫ, ЗОЛОТЫЕ СЛИТКИ
$DO_BASEREWARDAMOUNT4	ПЕРВАЯ ПОМОЩЬ, БОЕПРИПАСЫ, ВЗРЫВЧАТКА
$DO_BASEREWARDAMOUNT5	5
$DO_RAREREWARDS	РЕДКИЕ НАГРАДЫ
$DO_DAILYUNLOCKS	РАЗБЛОКИРОВКИ
$DO_INITIATEUNLOCKS	НИЗКИЙ ШАНС ПОЛУЧИТЬ РЕДКУЮ НАГРАДУ ЗА ВЫПОЛНЕНИЕ ЕЖЕДНЕВНЫХ ОПЕРАЦИЙ
$DO_PALADINUNLOCKS	ПОВЫШЕННЫЙ ШАНС ПОЛУЧИТЬ РЕДКУЮ НАГРАДУ ЗА ВЫПОЛНЕНИЕ ЕЖЕДНЕВНЫХ ОПЕРАЦИЙ
$DO_ELDERUNLOCKS	ГАРАНТИРОВАННАЯ РЕДКАЯ НАГРАДА ЗА ВЫПОЛНЕНИЕ ЕЖЕДНЕВНЫХ ОПЕРАЦИЙ
$DO_INITIATEUNLOCKS2	ДОПОЛНИТЕЛЬНЫЙ ОПЫТ
$DO_PALADINUNLOCKS2	ДОПОЛНИТЕЛЬНЫЙ ЛЕГЕНДАРНЫЙ ПРЕДМЕТ
$DO_ELDERUNLOCKS2	ДОПОЛНИТЕЛЬНАЯ ВАЛЮТА
$DO_ELDERUNLOCKS3	ЛЕГЕНДАРНЫЕ БЛОКИ
$DO_EARNED	ПОЛУЧЕНО РАНЕЕ
$DO_ENEMY	ВРАГ
$DO_FACTION	ФРАКЦИЯ
$DO_LOCATION	МЕСТОНАХОЖДЕНИЕ
$DO_LOCKED	(ЗАБЛОКИРОВАНО)
$DO_MODE	ИГРОВОЙ РЕЖИМ
$DO_MUTATOR	МУТАЦИЯ
$DO_RANKACHIEVED	РАНГ ДОСТИГНУТ
$DO_RANKTIME	< {1} МИН.
$DO_SUPPLIES	ПРИПАСЫ
$DO_TIME	{1} МИН. {2} СЕК.
$DO_TOOLTIP	ЦЕННОСТЬ НАГРАД ЗАВИСИТ ОТ СКОРОСТИ ВЫПОЛНЕНИЯ ЕЖЕДНЕВНЫХ ОПЕРАЦИЙ!
$DO_TOOLTIP_DOUBLE	ПОЛУЧАЙТЕ ВДВОЕ БОЛЬШЕ ОПЫТА, ВАЛЮТЫ И ЛЕГЕНДАРНЫХ БЛОКОВ ВО ВРЕМЯ ВЫХОДНЫХ ДВОЙНЫХ МУТАЦИЙ!
$DO_TUT_MSG	Ежедневные операции рекомендованы для игроков {1}-го уровня и выше. Хотите продолжить?
$DO_UNLOCKED	ОТКРЫТО
$DO_VIEWEXIT	ПРОСМОТРЕТЬ ОТЧЕТ ОБ ОПЕРАЦИИ
$DO_INITIATE	ПОСЛУШНИК
$DO_PALADIN	ПАЛАДИН
$DO_ELDER	СТАРЕЙШИНА
$DO_TEAM_RECOMMENDED	(РЕКОМЕНДУЕТСЯ ВЫПОЛНЯТЬ В КОМАНДЕ)
$DOCOMPLETIONTIME	ВРЕМЯ ЗАВЕРШЕНИЯ
$DO_NO_DAILY_CHANCES	НЕ ОСТАЛОСЬ ШАНСОВ ПОЛУЧИТЬ РЕДКУЮ ЕЖЕДНЕВНУЮ НАГРАДУ
$DailyOps_Actions_JoinTeam	ПРИСОЕДИНИТЬСЯ К КОМАНДЕ
$DailyOps_AlreadyActive	Вы уже выполняете ежедневную операцию.
$DailyOps_Disabled	Ежедневные операции в данный момент недоступны.
$DailyOps_Header_Mode	Ежедневные операции: модуль связи
$dailyops_header_mode	Модуль связи
$Dailyops_Header_Mode2	Ежедневные операции: дешифровка
$dailyops_header_mode2	Дешифровка
$DailyOps_Header_Orders	ПРИКАЗЫ
$DailyOps_Header_Intel	РАЗВЕДДАННЫЕ
$DailyOps_Header_Mutation	ВРАЖЕСКИЕ МУТАЦИИ
$DailyOps_Header_Rewards	УРОВНИ НАГРАД
$DailyOps_Intel_Faction	Враждебная фракция
$DailyOps_Intel_Recommended_Level	Уровень {1}+
$DailyOps_Rewards_Tier0	Базовый уровень сложности (завершение)
$DailyOps_Rewards_Tier0_Time	(Завершение)
$DailyOps_Rewards_Tier1	Уровень сложности "Послушник" ({1} мин.)
$DailyOps_Rewards_Tier2	Уровень сложности "Паладин" ({1} мин.)
$DailyOps_Rewards_Tier3	Уровень сложности "Старейшина" ({1} мин.)
$DailyOps_Rewards_State0	ПОВТОРЯЕМОЕ
$DailyOps_Rewards_State1	ПРОЙДЕНО
$DailyOps_Rewards_State2	НЕ ПРОЙДЕНО
$DailyOps_Time_Until_Reset	Время до сброса
$DailyOps	Ежедневные операции
$DailyOpsDouble	Ежедневные операции (удв.)
$DailyOpsHUDUpdate	{1} начинает задание "{2}". Помогите с его выполнением, заработайте самый высокий ранг и получите наилучшие награды.
$DailyOpsHUDUpdateJoined	{1} присоединяется к вам для выполнения ежедневной операции.
$DAILY_OPS_TEAM_UPDATE	ЕЖЕДНЕВНЫЕ ОПЕРАЦИИ: ОБНОВЛЕНИЕ КОМАНДЫ
$DailyOpsBloodEagles	Кровавые Орлы
$DailyOpsFanatic	Фанатики
$DailyOpsRobots	Роботы
$DailyOpsSuperMutants	Супермутанты
$DailyOpsScorched	Горелый
$DailyOpsMoleMiner	Кроты-шахтеры
$DailyOpsCultist	Сектанты
$DailyOpsOvergrown	Разросшийся
$DailyOpsPRC	Коммунисты
$DailyOpsZetan	Инопланетяне
$Damage is reduced until both sides attack	Урон снижен, пока не напали обе стороны
$Damage Resistance	Сопротивляемость урону
$DANGER	ОПАСНОСТЬ
$DATA	ИНФО
$DATE_FORMAT	{1}/{2}/{3}
$DBNO_FastTravelConfirmationNoTeam	Вы уверены, что хотите переместиться? Вы не сможете завершить это задание. 
$DBNO_FastTravelConfirmationTeam	Вы уверены, что хотите переместиться? Вы не сможете вновь присоединиться к своей команде в Убежище.
$DBNO_RespawnConfirmation	Вы уверены, что хотите возродиться? Вы не сможете вновь присоединиться к своей команде в Убежище.
$DECLINED	{1} [ОТКАЗАНО]
$DEACTIVATE	Отключить
$DECLINEITEM	ОТКАЗАТЬСЯ ОТ ПРЕДМЕТА
$DeclineItem	Отказаться от предмета
$DeclineItemSetReason	Вы можете указать, почему предмет вам не нужен.
$Default	По умолчанию
$DEFAULTS	ПО УМОЛЧАНИЮ
$DELETE	УДАЛИТЬ
$Delete	Удалить
$DELETE BLUEPRINT	УДАЛИТЬ ЧЕРТЕЖ
$Delete this save?	Удалить сохранение?
$DELETECHARACTER	Удалить персонажа
$DeleteLibraryMod_Confirm	Вы уверены, что хотите удалить модификацию? Если она не зарегистрирована на сайте Bethesda.net, вы не сможете восстановить ее.
$DELETETHISCHARACTER	Удалить этого персонажа?
$Deleting	Идет удаление...
$DependencyMissing	Необходимая зависимость отсутствует.
$Depth of Field	Глубина резкости
$DESCRIPTION	ОПИСАНИЕ
$Desktop	Рабочий стол
$DESKTOP	РАБОЧИЙ СТОЛ
$DESTROY	УНИЧТОЖИТЬ
$Detach	СНЯТЬ
$DETAILS	ПОДРОБНОСТИ
$DetailsPageError_Generic	Не удалось завершить операцию.
$DetailsPageError_ModDeleted	Эта модификация больше не доступна.
$Detrimental	Вредные
$Dialogue Camera	Камера для диалога
$Dialogue Subtitles	Субтитры диалогов
$DialogueNegative	Отрицательный
$DialogueNeutral	Нейтральный
$DialoguePositive	Положительный
$DialogueQuestion	Вопрос
$Difficulty	Сложность
$DIRT	ГРЯЗЬ
$Disabled	Отключено
$DisableMod	Деактивировать
$DISCLAIMER	ПРЕДУПРЕЖДЕНИЕ
$DisconnectedModified	Вы были отключены в связи с изменением файлов игры.
$DisconnectReasonFOWBadCharacter	Не удалось загрузить персонажа из этого мира Fallout
$DisconnectReasonPrivateWorldBlockedByOwner	Этот закрытый мир вам недоступен, так как его владелец вас заблокировал.
$DisconnectReasonPrivateWorldNoFO1Members	В этом закрытом мире не было участников клуба Fallout 1st. Оставшиеся игроки были отключены.
$DisconnectReasonPrivateWorldNotFriendsWithOwner	Этот закрытый мир вам недоступен, так как вы не состоите в друзьях с его владельцем.
$DisconnectReasonPrivateWorldNotOnTeamWithOwner	Этот закрытый мир вам недоступен, так как вы не находитесь в одной команде с его владельцем.
$DisconnectReasonPrivateWorldOwnerNoFO1	Срок действия вашей подписки Fallout 1st истек.
$DisconnectReasonPrivateWorldOwnerOffline	Вы не можете находиться в этом закрытом мире, поскольку его владелец не в игре.
$DisconnectReasonPrivateWorldUnfriendedByOwner	Этот закрытый мир вам недоступен, так как вы больше не состоите в друзьях с его владельцем.
$Discovered	Обнаружено
$DiscoveredRegion	Обнаружен регион
$DISMISS	ИГНОРИРОВАТЬ
$DISPENSER	РАЗДАТЧИК
$DISPLAY	ВИДЕО
$Display	Видео
$Distance	Расстояние
$dmg	Урон
$DONE	ГОТОВО
$DoorHelpLeader	Помочь лидеру команды (личное задание неактивно)
$DoorLeaderInstance	Войти как лидер команды
$DoorSoloInstance	Войти в одиночку
$Download	Загрузить
$Downloading...	Идет загрузка...
$dr	Сопр. урону
$Drink	ПИТЬ
$Drill_Fuel	Топливо бура
$DROP	ВЫБРОСИТЬ
$Drop:	Выбросить:
$Drink	ПИТЬ
$DUPLICATECARD	КОПИЯ КАРТЫ
$EasyReadTextColorR	Альтернативный цвет для чтения заметок К
$EasyReadTextColorG	Альтернативный цвет для чтения заметок З
$EasyReadTextColorB	Альтернативный цвет для чтения заметок С
$EasyReadBGColorR	Альтернативный цвет фона для чтения заметок К
$EasyReadBGColorG	Альтернативный цвет фона для чтения заметок З
$EasyReadBGColorB	Альтернативный цвет фона для чтения заметок С
$Eat	ЕСТЬ
$Economy	Экономика
$EDIT	ИЗМЕНИТЬ
$Edit	Редактировать
$EDIT:	ИЗМЕНИТЬ: {1}
$EDIT_DESCRIPTION	ИЗМЕНИТЬ ОПИСАНИЕ
$EDIT_NAME	ИЗМЕНИТЬ НАЗВАНИЕ
$EDITTAG	РЕДАКТИРОВАТЬ МЕТКУ
$EditNote	РЕДАКТИРОВАТЬ ЗАМЕТКУ
$EDIT_ACTIVE_PERKS	ИЗМЕНИТЬ АКТИВНЫЕ СПОСОБНОСТИ
$EDIT_SPECIAL	ИЗМЕНИТЬ S.P.E.C.I.A.L.
$EDIT_MODS	ИЗМЕНИТЬ МОДИФИКАЦИИ
$EDIT_ATHENA_SETTINGS	ИЗМЕНИТЬ НАСТРОЙКИ МИРА
$Effects	Эффекты
$ELITEKILLS	УБИЙСТВА ЭЛИТНЫХ ИИ
$Email	Электронная почта
$Email Address	Адрес электронной почты
$EmbarkingTo	(ОТПРАВЛЕНИЕ В {1})
$Emotes	Эмоции
$EMOTES	ЭМОЦИИ
$EMOTES_PET	КОМАНДЫ ПИТОМЦЕВ ДЛЯ C.A.M.P.
$EMPTY	ПУСТО
$EnableCameraShake	Включить тряску камеры
$EnableMod	Активировать
$EnablePowerArmorHUD	Включить интерфейс силовой брони
$Enable Public Team Notifications	Включить уведомления для публичных команд
$EnableQuestTrackNotification	Показывать уведомление о начале неактивного задания
$EncounterActiveDoor	Нельзя войти, пока команда участвует в налете.
$ENDURANCE	ВЫНОСЛИВОСТЬ
$End_Of_MiniSeason	Текущий мини-сезон окончен
$Enemies	Враги
$EnemyType	Тип врага
$ENLARGE	УВЕЛИЧИТЬ
$ENTER	ВОЙТИ
$ENTER CHARACTER NAME DELETE	Введите имя персонажа, чтобы удалить.
$Enter name.	Ввести имя
$ENTER TEXT	ВВОД ТЕКСТА
$EQUIP	ВЫБРАТЬ
$Equip	ВЫБРАТЬ
$EquipItemFailed	Не удалось использовать предмет.
$EULAHeader	Лицензионное соглашение, относящееся к жителям Северной и Центральной Америки:
$EVENT	СОБЫТИЕ
$EVENTCOMPLETED	СОБЫТИЕ ЗАВЕРШЕНО
$EVENTDETAILS	ПОДРОБНОСТИ О СОБЫТИИ
$EventDifficulty0	Очень низкая
$EventDifficulty1	Низкая
$EventDifficulty2	Средняя
$EventDifficulty3	Высокая
$EventDifficulty4	Очень высокая
$EventDifficulty5	Ядерная
$EVENTFAILED	СОБЫТИЕ НЕ ЗАВЕРШЕНО
$ENHeaderTextBoss	ПОБЕДА НАД БОССОМ
$ENHeaderTextCombat	Эффект контроля
$ENHeaderTextComplete	СУПЕРЪЯДЕРНАЯ РАБОТА
$ENHeaderTextFreebie	БЕСПЛАТНАЯ ГАЗИРОВКА
$ENHeaderTextTwist	ПОРА ОСВЕЖИТЬСЯ
$Eventmate	Соратник по событию
$EventType0	Совместное
$EventType1	Противостояние
$EventType2	Каждый за себя
$EventType3	Защита
$EventType4	Волны
$EventType5	Босс
$EventType6	Особое
$EventType7	Сбор
$EventType8	Сопровождение
$EventType9	Смешанное
$ExceededMaxCount	Превышено максимальное количество строений
$ExceededMaxCountAlly	Единовременно можно разместить или хранить только одного союзника.
$ExceededMaxCountPet	Единовременно можно разместить или хранить только одного питомца.
$Execute	ВЫПОЛНИТЬ
$Execute Critical	ПРОВЕСТИ КРИТИЧЕСКУЮ АТАКУ
$Exit	Выйти
$EXIT	ВЫЙТИ
$EXIT AND CANCEL	ОТМЕНИТЬ И ВЫЙТИ
$EXIT WITHOUT SAVING	ВЫЙТИ БЕЗ СОХРАНЕНИЯ
$EXITVAULT	ВЫХОД ИЗ УБЕЖИЩА
$EXP_COMPLETE_FANFARE	ЭКСПЕДИЦИЯ ЗАВЕРШЕНА
$EXP_COMPLETE_SECONDARY	ВЕРНИТЕСЬ К ВИНТОКРЫЛУ, ЧТОБЫ ОТПРАВИТЬСЯ ОБРАТНО В АППАЛАЧИЮ
$EXPAND	РАСШИРИТЬ
$Expedition	Экспедиция
$EXPEDITION_COMPLETED	ЭКСПЕДИЦИЯ ЗАВЕРШЕНА
$EXPObjectiveCompleteHeader	ДОСТИГНУТЫЕ ЦЕЛИ
$EXPOnboardTutHeader	ЭКСПЕДИЦИИ
$EXPOnboardTutSubHeader	С нами связались несколько групп выживших за пределами Аппалачии. Исследуйте новые земли и помогите возродить жизнь в Пустоши! 
$EXPOnboardTut01	Винтокрылы, на которых можно добраться до мест экспедиций за пределами Аппалачии, находятся возле курорта "Уайтспринг". 
$EXPOnboardTut02	Для путешествий на винтокрылах требуются полностью заряженные ультрацитовые батареи. Чтобы зарядить батареи, выполняйте ежедневные задания Пристанища. 
$EXPOnboardTut03	Лидеры команд могут собрать группу и воспользоваться картой, чтобы начать новую экспедицию. Команды могут вернуться в Аппалачию и возобновить прерванную экспедицию в любое время.
$EXPSecondaryObjectives	ВТОРОСТЕПЕННЫЕ ЗАДАЧИ
$EXPEDITIONCONTACT	КОНТАКТ
$EXPEDITIONCURRENT	{1} — ТЕКУЩАЯ ЭКСПЕДИЦИЯ
$EXPEDITIONCURRENTTEAM	{1} — ТЕКУЩАЯ КОМАНДНАЯ ЭКСПЕДИЦИЯ
$ExpeditionDisabled	"Это задание временно отключено. Над проблемой уже работают лучшие специалисты "Волт-Тек". Загляните чуть позже".
$EXPEDITIONDISTRICT	РАЙОН
$ExpeditionDistricts	Районы
$ExpeditionJoin	Присоединиться к командной экспедиции
$ExpeditionLaunch	НАЧАТЬ НОВУЮ ЭКСПЕДИЦИЮ
$ExpeditionLaunchErrorNonLeader	Ваш лидер еще не начал экспедицию. Начать новую экспедицию может только лидер команды.
$ExpeditionLaunchErrorPrereqQuestIncomplete	Посетите Спасателей в Пристанище "Уайтспринга", чтобы получить доступ к новым экспедициям.
$ExpeditionLeaderCurrent	ТЕКУЩАЯ ЭКСПЕДИЦИЯ: {1}	
$EXPEDITIONLEVEL	РЕКОМЕНДУЕМЫЙ УРОВЕНЬ
$ExpeditionLocation	ЭКСПЕДИЦИИ
$EXPEDITIONLOCATIONDETAILS	МЕСТОНАХОЖДЕНИЕ
$ExpeditionNoCurrent	НЕТ ТЕКУЩИХ ЭКСПЕДИЦИЙ
$ExpeditionRequestJoinFailed	Не удалось присоединиться к экспедиции лидера. Пожалуйста, повторите попытку позже.
$ExpeditionRequestStartFailed	Не удалось начать экспедицию. Пожалуйста, повторите попытку позже.
$ExpeditionRequestOffMap	Чтобы начать новую экспедицию, вернитесь в Аппалачию.
$ExpeditionDisabled	Это задание временно отключено. Над проблемой уже работают лучшие специалисты Аппалачии. Загляните чуть позже.
$ExpeditionResume	Продолжить экспедицию	
$ExpeditionSelectDistrict	ВЫБЕРИТЕ РАЙОН
$ExpeditionSelectHeader	ВЫБОР ЭКСПЕДИЦИИ
$ExpeditionStartNew	Начать новую экспедицию в районе {1}?
$ExpedtionStartNewTooltip	Вы сейчас в экспедиции. Если вы начнете новую экспедицию, прогресс в момент активации контрольной точки будет утерян.
$ExpeditionTeamCurrent	ТЕКУЩАЯ КОМАНДНАЯ ЭКСПЕДИЦИЯ: {1}
$EXPEDITIONTOGGLE	ПЕРЕКЛЮЧИТЬ ЭКСПЕДИЦИЮ
$ExpeditionTravel	Переместиться в район
$ExpeditionChangeDistrict	СМЕНИТЬ РАЙОН
$ExpeditionTravelWhitesprings	ЦЕЛЬ ПУТЕШЕСТВИЯ: ПРИСТАНИЩЕ "УАЙТСПРИНГА"
$ExpeditionViewMissions	ПРОСМОТРЕТЬ ЗАДАНИЯ
$EXPIRED	ИСТЕК СРОК ДЕЙСТВИЯ
$Exploration	Разведка
$Expression	Выражение
$ExternalPurchaseFailure	Что-то пошло не так. Повторите покупку позже.
$EXTRAS	ДОПОЛНЕНИЯ
$EYE COLOR	ЦВЕТ ГЛАЗ
$FACE	ЛИЦО
$FACEPAINT	РАСКРАСКИ
$FACIAL HAIR	РАСТИТЕЛЬНОСТЬ НА ЛИЦЕ
$FailedToAvailablePlaylists	Не удается загрузить доступные плейлисты.
$FailedToCustomGameModes	Не удается загрузить личные режимы игры.
$FailedToDisplayWorlds	Не удается отобразить миры.
$FailedToGetPrivs	Не удалось подключиться к Bethesda.net. Проверьте, подключена ли ваша консоль к сети Xbox.
$FailedToJoinWorldFriendsNotVerified	Ошибка при подключении к миру: список ваших друзей не подтвержден. Пожалуйста, попробуйте снова.
$FailedToUnlinkWorld	Не удалось отвязять персонажа от мира Fallout. Пожалуйста, повторите попытку позже.
$FalloutWorldPurchaseFailed	Этот предмет нельзя купить, находясь в мире Fallout.
$FalloutWorldSeasonClaimFailed	Персонаж из мира Fallout не может получить эту награду. Перейдите в режим приключения.
$FAST	БЫСТР
$FastTravel	ПЕРЕМЕЩЕНИЕ
$FastTravelCampOverbudget	Вы не можете совершить это действие из-за превышения бюджета C.A.M.P. Разберите или уничтожьте часть предметов в C.A.M.P.
$FastTravelNoTravelToCamp	Быстрое перемещение невозможно: C.A.M.P. слишком близко.
$FastTravelNoTravelToPlayer	Вы не можете переместиться к этому игроку.
$FastTravelDisabled	Быстрое перемещение отключено.
$FastTravelInExpeditionHeader	Покинуть активную экспедицию и вернуться в Аппалачию?
$FastTravelInExpeditionLeaderPrompt	Прогресс в момент активации контрольной точки будет сохранен. Вы сможете вернуться в активную экспедицию в любое время, не расходуя при этом ресурсы. Участники команды вернутся в Аппалачию.
$FastTravelInExpeditionMemberPrompt	Вы сможете повторно присоединиться к своей команде в этой экспедиции, пока там находится ваш лидер.
$FastTravelOptionExterior	Внешн.
$FastTravelOptionInterior	{1}
$FastTravelOptionInteriorLeader	{1} – присоединиться к лидеру команды
$FastTravelOptionInteriorOwn	{1} – создать свою область
$FastTravelOptionsTooltip	Для этой точки быстрого перемещения доступно несколько пунктов назначения.
$FastTravelRespawn	ВОЗРОДИТЬСЯ
$FastTravelSubLocationPrompt	Выберите точку перемещения для: {1}
$FastTravelUndiscovered	Вы еще не были в этом месте. Поставить метку?
$FAV	ИЗБР.
$FAVORITE	ИЗБРАННОЕ
$FavoriteAndEquip	ДОБАВИТЬ В СПИСОК ИЗБРАННОГО И ИСПОЛЬЗОВАТЬ
$FAVORITES	ИЗБРАННОЕ
$Featured	Рекомендованное
$FERMENTER	БРОДИЛЬНЫЙ ЧАН
$Field of View	Поле зрения
$Filter	Фильтр
$FILTER	ФИЛЬТР
$FILTERS	ФИЛЬТРЫ
$FILTER_AGILITY	ФИЛЬТР (ЛОВ)
$FILTER_CHARISMA	ФИЛЬТР (ХАР)
$FILTER_ENDURANCE	ФИЛЬТР (ВЫН)
$FILTER_INTELLIGENCE	ФИЛЬТР (ИНТ)
$FILTER_LUCK	ФИЛЬТР (УДЧ)
$FILTER_PERCEPTION	ФИЛЬТР (ВОС)
$FILTER_PERK_COST	ФИЛЬТР (СТ.
$FILTER_RANK	ФИЛЬТР (УР.
$FILTER_STRENGTH	ФИЛЬТР (СИЛ)
$FIND	НАЙТИ
$FIND SCHEMATICS	НАЙТИ СХЕМЫ
$Find_Another_World	Найти другой мир
